Disease,Prevalence,Prior_Weight,Typical_Min_Duration_Days,Typical_Max_Duration_Days,Duration_Category,Onset_Type,Progression_Type,Urgency_Level,Typical_Min_Age,Typical_Max_Age,Primary_Age_Group,Gender_Predisposition,Primary_Organ_System,Secondary_Organ_System,Typical_Severity_Level,Case_Fatality_Risk,Hospitalization_Likelihood,Chronicity_Type
scurvy,Common,0.75,30,90,Chronic,Gradual,Progressive,Moderate,0,90,All Ages,Both,Endocrine,Multisystem,Moderate,Low,Sometimes,Acute
seasonal allergies (hay fever),Very Common,1,14,90,Chronic,Sudden,Relapsing,Low,15,70,Young Adult,Both,Respiratory,ENT,Mild,Very Low,Rare,Relapsing-Remitting
sebaceous cyst,Common,0.75,30,10950,Chronic,Gradual,Chronic Stable,Low,0,80,All Ages,Slightly Male,Dermatological,None,Mild,Very Low,Rare,Chronic
seborrheic dermatitis,Very Common,1,30,18250,Chronic,Gradual,Relapsing,Low,50,95,Elderly,Both,Dermatological,None,Mild,Very Low,Rare,Chronic
seborrheic keratosis,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,0,95,All Ages,Both,Dermatological,None,Mild,Very Low,Rare,Chronic
sensorineural hearing loss,Common,0.75,365,18250,Chronic,Gradual,Progressive,Moderate,0,95,All Ages,Both,ENT,Neurological,Moderate,Very Low,Rare,Chronic Progressive
sepsis,Common,0.75,1,14,Subacute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Infectious Disease,Multisystem,Severe,High,Almost Always,Acute
septic arthritis,Common,0.75,7,21,Subacute,Sudden,Progressive,Emergency,50,95,Elderly,Both,Musculoskeletal,Infectious Disease,Severe,Low,Almost Always,Acute
shingles (herpes zoster),Common,0.75,14,28,Chronic,Sudden,Self-limiting,Moderate,20,80,Middle Aged,Both,Infectious Disease,Neurological,Moderate,Very Low,Rare,Acute
sialoadenitis,Common,0.75,7,14,Subacute,Sudden,Self-limiting,Moderate,60,95,Elderly,Both,ENT,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute
sick sinus syndrome,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,0,50,Child,Both,Cardiovascular,None,Moderate to Severe,Low,Often,Chronic
sickle cell anemia,Common,0.75,3650,25550,Chronic,Sudden,Chronic Stable,High,0,50,Child,Both,Hematological,Multisystem,Moderate to Severe,Low,Often,Chronic
sickle cell crisis,Common,0.75,3,10,Acute,Sudden,Relapsing,Emergency,0,95,All Ages,Both,Hematological,Multisystem,Severe,Low,Almost Always,Acute
sinus bradycardia,Common,0.75,1,10950,Chronic,Sudden,Chronic Stable,Moderate,40,60,Middle Aged,Female,Cardiovascular,None,Mild,Very Low,Rare,Chronic
sjogren syndrome,Common,0.75,365,7300,Chronic,Insidious,Progressive,Moderate,50,95,Elderly,Both,Autoimmune,ENT,Moderate,Very Low,Rare,Chronic
skin cancer,Common,0.75,180,1825,Chronic,Insidious,Progressive,High,0,90,All Ages,Both,Dermatological,None,Severe,Moderate,Often,Chronic Progressive
skin disorder,Common,0.75,7,10950,Chronic,Gradual,Relapsing,Low,0,90,All Ages,Both,Dermatological,None,Mild,Very Low,Rare,Chronic
skin pigmentation disorder,Common,0.75,180,10950,Chronic,Gradual,Chronic Stable,Low,30,90,Middle Aged,Both,Dermatological,None,Mild,Very Low,Rare,Chronic
skin polyp,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,13,80,Young Adult,Slightly Male,Dermatological,None,Mild,Very Low,Rare,Chronic
smoking or tobacco addiction,Very Common,1,365,18250,Chronic,Insidious,Progressive,High,13,30,Adolescent,Both,Psychiatric,Respiratory,Moderate,Moderate,Rare,Chronic Progressive
social phobia,Common,0.75,365,18250,Chronic,Gradual,Relapsing,Low,0,85,All Ages,Both,Psychiatric,None,Mild to Moderate,Very Low,Rare,Chronic
soft tissue sarcoma,Common,0.75,180,1095,Chronic,Insidious,Progressive,High,18,45,Young Adult,Female,Musculoskeletal,Dermatological,Severe,Moderate,Often,Chronic Progressive
somatization disorder,Common,0.75,365,10950,Chronic,Gradual,Relapsing,Moderate,18,70,Young Adult,Male,Psychiatric,Multisystem,Moderate,Very Low,Rare,Chronic
spermatocele,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,0,40,Child,Both,Reproductive,Genitourinary,Mild,Very Low,Rare,Chronic
spherocytosis,Common,0.75,3650,25550,Chronic,Sudden,Chronic Stable,Moderate,0,0,Infant,Both,Hematological,Gastrointestinal,Moderate,Low,Sometimes,Chronic
spina bifida,Rare,0.35,3650,25550,Chronic,Sudden,Chronic Stable,Moderate,50,95,Elderly,Both,Neurological,Musculoskeletal,Severe,Low,Rare,Chronic
spinal stenosis,Common,0.75,365,7300,Chronic,Insidious,Progressive,Moderate,20,50,Young Adult,Both,Musculoskeletal,Neurological,Moderate,Very Low,Rare,Chronic Progressive
spinocerebellar ataxia,Common,0.75,3650,18250,Chronic,Insidious,Progressive,Moderate,15,80,Middle Aged,Both,Neurological,Musculoskeletal,Severe,Low,Rare,Chronic Progressive
spondylitis,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,15,80,Middle Aged,Both,Musculoskeletal,Autoimmune,Moderate,Very Low,Rare,Chronic Progressive
spondylolisthesis,Common,0.75,365,10950,Chronic,Gradual,Progressive,Moderate,45,95,Elderly,Both,Musculoskeletal,Neurological,Moderate,Very Low,Rare,Chronic Progressive
spondylosis,Common,0.75,365,10950,Chronic,Insidious,Progressive,Low,15,45,Young Adult,Female,Musculoskeletal,None,Mild to Moderate,Very Low,Rare,Chronic Progressive
spontaneous abortion,Common,0.75,1,14,Subacute,Sudden,Self-limiting,Emergency,15,70,Young Adult,Both,Reproductive,None,Severe,Low,Almost Always,Acute
sporotrichosis,Rare,0.35,30,180,Chronic,Gradual,Progressive,Moderate,5,80,Young Adult,Both,Infectious Disease,Dermatological,Moderate,Very Low,Sometimes,Subacute
sprain or strain,Very Common,1,7,30,Chronic,Sudden,Self-limiting,Moderate,0,95,All Ages,Both,Musculoskeletal,None,Mild to Moderate,Very Low,Rare,Acute
stenosis of the tear duct,Common,0.75,180,10950,Chronic,Gradual,Progressive,Low,50,85,Elderly,Slightly Male,Ophthalmological,ENT,Mild,Very Low,Rare,Chronic
stomach cancer,Common,0.75,180,1095,Chronic,Insidious,Progressive,High,3,30,Child,Both,Gastrointestinal,None,Severe,Moderate,Often,Chronic Progressive
strep throat,Very Common,1,3,10,Acute,Sudden,Self-limiting,Moderate,35,95,Middle Aged,Female,ENT,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
stress incontinence,Common,0.75,365,7300,Chronic,Gradual,Chronic Stable,Moderate,40,90,Middle Aged,Both,Genitourinary,Musculoskeletal,Mild,Very Low,Rare,Chronic
stricture of the esophagus,Common,0.75,180,7300,Chronic,Gradual,Progressive,Moderate,45,95,Elderly,Slightly Male,Gastrointestinal,None,Moderate,Very Low,Often,Chronic Progressive
stroke,Common,0.75,1,10950,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Both,Neurological,Cardiovascular,Severe,High,Almost Always,Acute
stye,Common,0.75,3,7,Acute,Sudden,Self-limiting,Low,30,50,Middle Aged,Female,Ophthalmological,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
subacute thyroiditis,Common,0.75,30,90,Chronic,Gradual,Self-limiting,Moderate,40,70,Middle Aged,Both,Endocrine,Infectious Disease,Moderate,Very Low,Rare,Subacute
subarachnoid hemorrhage,Common,0.75,0,1,Very Acute,Sudden,Progressive,Emergency,0,95,All Ages,Both,Neurological,Cardiovascular,Severe,High,Almost Always,Acute
subconjunctival hemorrhage,Common,0.75,7,14,Subacute,Sudden,Self-limiting,Low,0,95,Elderly,Slightly Male,Ophthalmological,Cardiovascular,Mild,Very Low,Rare,Acute Self-Limiting
subdural hemorrhage,Common,0.75,1,90,Chronic,Sudden,Progressive,Emergency,15,60,Young Adult,Slightly Male,Neurological,Cardiovascular,Severe,Moderate,Almost Always,Acute
substance-related mental disorder,Common,0.75,180,10950,Chronic,Insidious,Progressive,Moderate,40,95,Middle Aged,Both,Psychiatric,Neurological,Moderate,Low,Sometimes,Chronic
syndrome of inappropriate secretion of adh (siadh),Common,0.75,7,30,Chronic,Gradual,Self-limiting,High,18,50,Young Adult,Slightly Male,Endocrine,Neurological,Moderate to Severe,Low,Often,Acute
syphilis,Common,0.75,30,7300,Chronic,Gradual,Progressive,Moderate,20,50,Young Adult,Both,Infectious Disease,Reproductive,Moderate,Low,Rare,Chronic
syringomyelia,Very Rare,0.15,3650,18250,Chronic,Insidious,Progressive,Moderate,15,45,Young Adult,Female,Neurological,Musculoskeletal,Moderate to Severe,Very Low,Rare,Chronic Progressive
systemic lupus erythematosis (sle),Common,0.75,365,10950,Chronic,Insidious,Relapsing,High,0,2,Infant,Both,Autoimmune,Multisystem,Moderate to Severe,Low,Sometimes,Chronic
teething syndrome,Common,0.75,3,7,Acute,Gradual,Self-limiting,Low,0,95,All Ages,Both,ENT,None,Mild,Very Low,Rare,Acute Self-Limiting
temporary or benign blood in urine,Common,0.75,1,3,Very Acute,Sudden,Self-limiting,Moderate,20,50,Young Adult,Female,Genitourinary,None,Mild,Very Low,Rare,Acute Self-Limiting
temporomandibular joint disorder,Common,0.75,30,3650,Chronic,Gradual,Relapsing,Low,20,80,Middle Aged,Both,Musculoskeletal,ENT,Mild to Moderate,Very Low,Rare,Chronic
tendinitis,Common,0.75,7,30,Chronic,Sudden,Self-limiting,Low,15,60,Young Adult,Slightly Female,Musculoskeletal,None,Mild to Moderate,Very Low,Rare,Subacute
tension headache,Very Common,1,0,1,Very Acute,Sudden,Relapsing,Low,15,40,Young Adult,Male,Neurological,Psychiatric,Mild to Moderate,Very Low,Rare,Chronic
testicular cancer,Common,0.75,180,1825,Chronic,Gradual,Progressive,High,0,90,All Ages,Male,Reproductive,None,Severe,Moderate,Often,Chronic Progressive
testicular disorder,Common,0.75,30,3650,Chronic,Gradual,Chronic Stable,Moderate,12,25,Adolescent,Male,Reproductive,None,Mild,Very Low,Rare,Chronic
testicular torsion,Common,0.75,0,1,Very Acute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Reproductive,Genitourinary,Severe,Very Low,Almost Always,Acute
thalassemia,Common,0.75,3650,25550,Chronic,Sudden,Chronic Stable,High,55,90,Elderly,Slightly Male,Hematological,None,Moderate to Severe,Low,Often,Chronic
thoracic aortic aneurysm,Common,0.75,365,7300,Chronic,Insidious,Progressive,Emergency,20,50,Young Adult,Female,Cardiovascular,Respiratory,Severe,Moderate,Often,Chronic Progressive
thoracic outlet syndrome,Common,0.75,180,3650,Chronic,Gradual,Relapsing,Moderate,15,45,Young Adult,Female,Neurological,Cardiovascular,Moderate,Very Low,Rare,Chronic
threatened pregnancy,Common,0.75,1,14,Subacute,Sudden,Progressive,High,0,90,All Ages,Both,Reproductive,None,Moderate,Low,Often,Acute
thrombocytopenia,Common,0.75,7,365,Chronic,Sudden,Relapsing,High,30,85,Middle Aged,Slightly Female,Hematological,None,Moderate,Low,Sometimes,Acute
thrombophlebitis,Common,0.75,7,21,Subacute,Sudden,Self-limiting,Moderate,25,75,Middle Aged,Female,Cardiovascular,Hematological,Moderate,Low,Sometimes,Acute
thyroid cancer,Common,0.75,365,5475,Chronic,Insidious,Progressive,High,0,90,All Ages,Slightly Female,Endocrine,None,Moderate to Severe,Low,Often,Chronic Progressive
thyroid disease,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,20,80,Middle Aged,Slightly Female,Endocrine,None,Mild to Moderate,Very Low,Rare,Chronic
thyroid nodule,Common,0.75,365,7300,Chronic,Insidious,Chronic Stable,Moderate,5,18,Child,Slightly Male,Endocrine,None,Mild,Very Low,Rare,Chronic
tic (movement) disorder,Common,0.75,365,7300,Chronic,Sudden,Relapsing,Low,20,40,Young Adult,Both,Neurological,Psychiatric,Mild,Very Low,Rare,Chronic
tietze syndrome,Common,0.75,7,90,Chronic,Sudden,Self-limiting,Low,40,95,Middle Aged,Both,Musculoskeletal,Respiratory,Mild,Very Low,Rare,Acute
tinnitus of unknown cause,Common,0.75,30,10950,Chronic,Sudden,Chronic Stable,Low,2,15,Child,Both,ENT,Neurological,Mild,Very Low,Rare,Chronic
tonsillar hypertrophy,Common,0.75,365,3650,Chronic,Gradual,Chronic Stable,Low,2,30,Child,Both,ENT,Respiratory,Mild,Very Low,Rare,Chronic
tonsillitis,Common,0.75,3,10,Acute,Sudden,Self-limiting,Moderate,2,90,All Ages,Both,ENT,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
tooth abscess,Common,0.75,2,7,Acute,Sudden,Progressive,High,0,90,All Ages,Both,ENT,Infectious Disease,Moderate,Low,Sometimes,Acute
tooth disorder,Common,0.75,30,10950,Chronic,Gradual,Progressive,Moderate,0,60,All Ages,Both,ENT,None,Mild,Very Low,Rare,Chronic
torticollis,Common,0.75,1,30,Chronic,Sudden,Relapsing,Moderate,5,18,Child,Male,Musculoskeletal,Neurological,Moderate,Very Low,Rare,Subacute
tourette syndrome,Common,0.75,365,10950,Chronic,Sudden,Chronic Stable,Low,50,90,Elderly,Female,Psychiatric,Neurological,Moderate,Very Low,Rare,Chronic
toxic multinodular goiter,Rare,0.35,365,7300,Chronic,Insidious,Progressive,Moderate,0,80,All Ages,Both,Endocrine,Cardiovascular,Moderate,Low,Sometimes,Chronic Progressive
toxoplasmosis,Common,0.75,14,30,Chronic,Gradual,Self-limiting,Moderate,0,12,Child,Both,Infectious Disease,Multisystem,Mild to Moderate,Low,Rare,Subacute
tracheitis,Common,0.75,3,10,Acute,Sudden,Progressive,High,50,95,Elderly,Both,ENT,Respiratory,Moderate,Low,Often,Acute
transient ischemic attack,Common,0.75,0,1,Very Acute,Sudden,Self-limiting,Emergency,40,95,Elderly,Both,Neurological,Cardiovascular,Moderate to Severe,Low,Often,Acute
trichiasis,Common,0.75,30,3650,Chronic,Gradual,Progressive,Moderate,10,70,All Ages,Both,Ophthalmological,None,Mild,Very Low,Rare,Chronic
trichinosis,Rare,0.35,14,60,Chronic,Gradual,Self-limiting,Moderate,16,50,Young Adult,Female,Infectious Disease,Musculoskeletal,Moderate,Low,Sometimes,Acute
trichomonas infection,Common,0.75,7,21,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Infectious Disease,Reproductive,Mild,Very Low,Rare,Acute
tricuspid valve disease,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,50,95,Elderly,Slightly Female,Cardiovascular,None,Moderate,Low,Sometimes,Chronic Progressive
trigeminal neuralgia,Common,0.75,1,10950,Chronic,Sudden,Relapsing,Moderate,40,75,Middle Aged,Slightly Female,Neurological,None,Moderate to Severe,Very Low,Rare,Chronic
trigger finger (finger disorder),Common,0.75,30,365,Chronic,Gradual,Relapsing,Low,0,90,All Ages,Both,Musculoskeletal,None,Mild,Very Low,Rare,Chronic
tuberculosis,Common,0.75,60,730,Chronic,Insidious,Progressive,High,0,30,Child,Both,Infectious Disease,Respiratory,Moderate to Severe,Moderate,Sometimes,Chronic
tuberous sclerosis,Very Rare,0.15,3650,25550,Chronic,Insidious,Chronic Stable,Moderate,0,0,Infant,Female,Multisystem,Neurological,Moderate,Low,Rare,Chronic Progressive
turner syndrome,Very Rare,0.15,3650,25550,Chronic,Sudden,Chronic Stable,Moderate,2,40,Child,Both,Endocrine,Reproductive,Moderate,Very Low,Rare,Chronic
typhoid fever,Common,0.75,14,28,Chronic,Gradual,Progressive,High,15,40,Young Adult,Both,Infectious Disease,Gastrointestinal,Moderate to Severe,Low,Often,Acute Self-Limiting
ulcerative colitis,Common,0.75,365,14600,Chronic,Gradual,Relapsing,Moderate,0,90,All Ages,Both,Gastrointestinal,Autoimmune,Moderate to Severe,Low,Sometimes,Relapsing-Remitting
urethral disorder,Common,0.75,30,3650,Chronic,Gradual,Chronic Stable,Moderate,20,80,Middle Aged,Male,Genitourinary,None,Mild,Very Low,Rare,Chronic
urethral stricture,Common,0.75,180,7300,Chronic,Gradual,Progressive,Moderate,0,12,Infant,Male,Genitourinary,None,Moderate,Very Low,Sometimes,Chronic
urethral valves,Common,0.75,3650,21900,Chronic,Sudden,Chronic Stable,High,16,50,Young Adult,Both,Genitourinary,None,Moderate to Severe,Low,Often,Chronic
urethritis,Common,0.75,3,14,Subacute,Sudden,Progressive,Moderate,40,95,Elderly,Female,Genitourinary,Infectious Disease,Mild,Very Low,Rare,Acute
urge incontinence,Common,0.75,90,7300,Chronic,Gradual,Chronic Stable,Moderate,0,95,All Ages,Female,Genitourinary,Neurological,Mild to Moderate,Very Low,Rare,Chronic
urinary tract infection,Very Common,1,3,10,Acute,Sudden,Progressive,Moderate,0,95,All Ages,Slightly Male,Genitourinary,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute
urinary tract obstruction,Common,0.75,1,90,Chronic,Sudden,Progressive,High,18,45,Young Adult,Female,Genitourinary,None,Moderate to Severe,Low,Often,Acute
uterine atony,Common,0.75,0,1,Very Acute,Sudden,Progressive,Emergency,50,85,Elderly,Female,Reproductive,None,Severe,Moderate,Almost Always,Acute
uterine cancer,Common,0.75,180,3650,Chronic,Insidious,Progressive,High,25,55,Young Adult,Female,Reproductive,None,Severe,Moderate,Often,Chronic Progressive
uterine fibroids,Common,0.75,365,7300,Chronic,Insidious,Chronic Stable,Moderate,20,60,Young Adult,Both,Reproductive,None,Moderate,Very Low,Sometimes,Chronic
uveitis,Common,0.75,7,60,Chronic,Sudden,Relapsing,High,0,0,Infant,Both,Ophthalmological,Autoimmune,Moderate,Very Low,Sometimes,Acute
vacterl syndrome,Very Rare,0.15,3650,25550,Chronic,Sudden,Chronic Stable,Moderate,15,60,Young Adult,Female,Multisystem,Cardiovascular,Severe,Low,Rare,Chronic
vaginal cyst,Common,0.75,30,3650,Chronic,Insidious,Chronic Stable,Low,15,55,Young Adult,Female,Reproductive,None,Mild,Very Low,Rare,Chronic
vaginal yeast infection,Common,0.75,3,10,Acute,Sudden,Self-limiting,Low,18,40,Young Adult,Female,Reproductive,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
vaginismus,Common,0.75,90,7300,Chronic,Gradual,Chronic Stable,Low,15,80,Young Adult,Female,Reproductive,Psychiatric,Moderate,Very Low,Rare,Chronic
vaginitis,Very Common,1,3,14,Subacute,Sudden,Self-limiting,Low,10,80,All Ages,Both,Reproductive,Infectious Disease,Mild,Very Low,Rare,Acute
valley fever,Common,0.75,14,90,Chronic,Gradual,Self-limiting,Moderate,15,35,Young Adult,Male,Infectious Disease,Respiratory,Moderate,Low,Sometimes,Subacute
varicocele of the testicles,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,30,85,Middle Aged,Female,Reproductive,Cardiovascular,Mild,Very Low,Rare,Chronic
varicose veins,Very Common,1,365,10950,Chronic,Insidious,Progressive,Low,20,70,Middle Aged,Both,Cardiovascular,Dermatological,Mild to Moderate,Very Low,Rare,Chronic Progressive
vasculitis,Common,0.75,30,1095,Chronic,Gradual,Progressive,High,40,95,Middle Aged,Both,Cardiovascular,Autoimmune,Moderate to Severe,Low,Sometimes,Chronic
venous insufficiency,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,50,95,Elderly,Both,Cardiovascular,Dermatological,Moderate,Very Low,Rare,Chronic Progressive
vertebrobasilar insufficiency,Common,0.75,1,3650,Chronic,Sudden,Relapsing,High,0,12,Infant,Both,Neurological,Cardiovascular,Moderate to Severe,Low,Sometimes,Chronic Progressive
vesicoureteral reflux,Common,0.75,365,5475,Chronic,Sudden,Progressive,Moderate,0,15,Child,Both,Genitourinary,None,Moderate,Low,Sometimes,Chronic
viral exanthem,Common,0.75,3,10,Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
viral hepatitis,Common,0.75,14,180,Chronic,Gradual,Self-limiting,High,5,50,Child,Both,Gastrointestinal,Infectious Disease,Moderate,Low,Sometimes,Acute
viral warts,Very Common,1,90,730,Chronic,Gradual,Relapsing,Low,0,90,All Ages,Both,Dermatological,Infectious Disease,Mild,Very Low,Rare,Chronic
vitamin a deficiency,Common,0.75,30,365,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Endocrine,Ophthalmological,Moderate,Low,Rare,Chronic
vitamin b12 deficiency,Common,0.75,60,365,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Hematological,Neurological,Moderate,Low,Rare,Chronic
vitamin d deficiency,Very Common,1,90,365,Chronic,Insidious,Progressive,Moderate,50,95,Elderly,Both,Endocrine,Musculoskeletal,Mild to Moderate,Very Low,Rare,Chronic
vitreous degeneration,Common,0.75,365,7300,Chronic,Insidious,Chronic Stable,Low,40,90,Middle Aged,Both,Ophthalmological,None,Mild,Very Low,Rare,Chronic Progressive
vitreous hemorrhage,Common,0.75,1,90,Chronic,Sudden,Progressive,Emergency,20,60,Young Adult,Slightly Male,Ophthalmological,Cardiovascular,Moderate to Severe,Very Low,Often,Acute
vocal cord polyp,Common,0.75,30,365,Chronic,Gradual,Chronic Stable,Low,0,90,Infant,Both,ENT,Respiratory,Mild to Moderate,Very Low,Rare,Chronic
volvulus,Common,0.75,1,3,Very Acute,Sudden,Progressive,Emergency,0,80,Child,Both,Gastrointestinal,None,Severe,Moderate,Almost Always,Acute
von willebrand disease,Common,0.75,3650,25550,Chronic,Sudden,Chronic Stable,Moderate,55,90,Elderly,Female,Hematological,None,Moderate,Low,Rare,Chronic
vulvar cancer,Common,0.75,180,1825,Chronic,Insidious,Progressive,High,15,90,Young Adult,Female,Reproductive,None,Severe,Moderate,Often,Chronic Progressive
vulvar disorder,Common,0.75,30,3650,Chronic,Gradual,Chronic Stable,Moderate,18,50,Young Adult,Female,Reproductive,None,Mild,Very Low,Rare,Chronic
vulvodynia,Common,0.75,90,7300,Chronic,Insidious,Chronic Stable,Low,30,80,Middle Aged,Slightly Male,Reproductive,Neurological,Moderate,Very Low,Rare,Chronic
wernicke korsakoff syndrome,Common,0.75,7,365,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Both,Neurological,Endocrine,Severe,Low,Often,Acute
white blood cell disease,Common,0.75,30,7300,Chronic,Insidious,Progressive,High,0,18,Child,Both,Hematological,Infectious Disease,Moderate,Low,Sometimes,Chronic
whooping cough,Common,0.75,42,70,Chronic,Gradual,Self-limiting,Moderate,5,35,Young Adult,Both,Infectious Disease,Respiratory,Moderate,Low,Often,Acute Self-Limiting
wilson disease,Very Rare,0.15,3650,18250,Chronic,Insidious,Progressive,Moderate,0,95,All Ages,Female,Gastrointestinal,Neurological,Severe,Low,Rare,Chronic Progressive
yeast infection,Common,0.75,3,10,Acute,Sudden,Self-limiting,Low,60,95,Elderly,Slightly Male,Infectious Disease,Reproductive,Mild,Very Low,Rare,Acute
zenker diverticulum,Very Rare,0.15,365,7300,Chronic,Insidious,Progressive,Moderate,60,95,Elderly,Slightly Male,Gastrointestinal,ENT,Moderate,Very Low,Sometimes,Chronic Progressive
